analysis_id,n0cf61n360tp51f
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_symbol,Tbl1xr1
pvalue,0.6421057
gene_accession_id,MGI:2441730
parameter_id,IMPC_CSD_029_001
parameter_name,Activity (body position)
