analysis_id,785rl9026e1wg3a
gene_accession_id,MGI:1345282
parameter_id,JAXLA_CSD_039_001
gene_symbol,Slc30a4
mouse_strain,C57BL
mouse_life_stage,Late adult
pvalue,0.3945633
parameter_name,Limb grasp
