gene_symbol,Kdm4c
mouse_strain,C57BL
parameter_id,MGP_IMM_033_001
mouse_life_stage,Early adult
analysis_id,g1ao3x8rdes3j49
parameter_name,Total NK cells - % of CD45+
pvalue,0.6036844
gene_accession_id,MGI:1924054
