parameter_name,Potassium
mouse_life_stage,E12.5
mouse_strain,C57BL
analysis_id,wkyss0r99698f1f
gene_symbol,Hspa5
parameter_id,GMC_906_001_005
pvalue,0.1391455
gene_accession_id,MGI:95835
