analysis_id,18hi2i9a0p2tb08
mouse_strain,C57BL
gene_symbol,Lurap1
mouse_life_stage,Early adult
parameter_name,Light side time spent
pvalue,0.7216644
gene_accession_id,MGI:1915325
parameter_id,JAX_LDT_002_001
