parameter_id,HMGULA_GRS_008_001
gene_symbol,Ppm1j
parameter_name,Forelimb grip strength measurement mean
mouse_life_stage,Early adult
analysis_id,3gnr2l4e762t7f1
mouse_strain,C57BL
pvalue,0.9527192
gene_accession_id,MGI:1919137
