parameter_name,Placenta Morphology
analysis_id,nb604a09xcdj88l
parameter_id,IMPC_GPO_002_001
mouse_life_stage,Middle aged adult
pvalue,0.127297
gene_accession_id,MGI:2446274
mouse_strain,C57BL
gene_symbol,Frmpd1
