parameter_name,Global prepulse inhibition
mouse_strain,C57BL
mouse_life_stage,Early adult
analysis_id,0664shx4dem1l24
pvalue,0.5822306
gene_symbol,Tnfsf10
parameter_id,ESLIM_011_001_705
gene_accession_id,MGI:107414
