analysis_id,1i00980664gm924
parameter_id,IMPC_ECH_018_001
gene_accession_id,MGI:88174
pvalue,0.6993209
mouse_strain,C57BL
mouse_life_stage,E15.5
gene_symbol,Bmi1
parameter_name,Respiration Rate
