analysis_id,g23b762w6z86u9y
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_symbol,Col6a3
parameter_name,Periphery - Permanence Time
parameter_id,M-G-P_007_001_008
gene_accession_id,MGI:88461
pvalue,0.2582804
