gene_symbol,Abo
pvalue,0.1565846
parameter_id,M-G-P_020_001_001
mouse_life_stage,Early adult
parameter_name,Body Weight
gene_accession_id,MGI:2135738
mouse_strain,C57BL
analysis_id,o4f559jxoe0td01
