gene_symbol,Stk35
analysis_id,g51o4mvqhramdc0
gene_accession_id,MGI:1914583
mouse_life_stage,Early adult
parameter_id,M-G-P_009_001_003
pvalue,0.4334587
mouse_strain,C57BL
parameter_name,Body weight
