parameter_name,White blood cell-count
mouse_life_stage,Early adult
analysis_id,yz27vcbl57pi783
mouse_strain,C57BL
pvalue,0.6253654
gene_symbol,Atf3
parameter_id,M-G-P_016_001_001
gene_accession_id,MGI:109384
