parameter_name,Hindlimbs - size
gene_accession_id,MGI:99501
pvalue,0.6577707
mouse_life_stage,E12.5
mouse_strain,C57BL
gene_symbol,Fgb
analysis_id,c11d0kn56f6w6qw
parameter_id,JAXLA_CSD_022_001
