parameter_id,JAXLA_OFD_020_001
gene_symbol,Ints7
gene_accession_id,MGI:1924315
mouse_strain,C57BL
parameter_name,Distance travelled - total
pvalue,0.7050911
analysis_id,a57i3596t5m7i5z
mouse_life_stage,E9.5
