analysis_id,i22t0hrvm3zx7k6
parameter_id,IMPC_IMM_063_001
mouse_life_stage,Early adult
gene_accession_id,MGI:2448481
parameter_name,B Cells
pvalue,0.8113104
gene_symbol,Mgst2
mouse_strain,C57BL
