gene_symbol,AU040320
parameter_name,center - distance
parameter_id,M-G-P_007_001_010
mouse_life_stage,Early adult
mouse_strain,C57BL
analysis_id,83016373y3f16pu
gene_accession_id,MGI:2140475
pvalue,0.4568154
