analysis_id,0y207y3y2kx7358
gene_symbol,Mecom
gene_accession_id,MGI:95457
mouse_strain,C57BL
parameter_name,Lumbar processes
mouse_life_stage,E12.5
parameter_id,IMPC_XRY_065_001
pvalue,0.6484496
