analysis_id,16m57up74f0pn8j
gene_symbol,Lpgat1
gene_accession_id,MGI:2446186
mouse_strain,C57BL
mouse_life_stage,E18.5
parameter_name,Eosinophils - % of CD45+
pvalue,0.9709711
parameter_id,MGP_IMM_125_001
