parameter_id,TCPLA_CSD_030_001
gene_accession_id,MGI:97838
pvalue,0.6365875
mouse_strain,C57BL
mouse_life_stage,Early adult
analysis_id,8xk70isa6off7bh
parameter_name,Tremor
gene_symbol,Eprs1
