parameter_name,DN CD25- NKT cells
gene_symbol,Lpgat1
parameter_id,IMPC_IMM_025_001
mouse_strain,C57BL
analysis_id,04mkwnfy78fu3c1
gene_accession_id,MGI:2446186
mouse_life_stage,Early adult
pvalue,0.1965909
