parameter_name,Corneal opacity
mouse_strain,C57BL
gene_symbol,Trp53rkb
pvalue,0.5194748
gene_accession_id,MGI:1914050
analysis_id,92s514k173gm767
mouse_life_stage,Early adult
parameter_id,IMPC_EYE_008_001
