gene_symbol,Dnaaf9
analysis_id,umxslf9wef99kge
mouse_life_stage,Early adult
gene_accession_id,MGI:1923029
parameter_name,NK cells (Panel A) - % of live leukocytes (Panel A)
parameter_id,IMPC_IMM_005_002
pvalue,0.7042405
mouse_strain,C57BL
