parameter_id,MGP_BMI_006_001
mouse_strain,C57BL
pvalue,0.7057102
gene_accession_id,MGI:2140475
mouse_life_stage,Early adult
gene_symbol,AU040320
analysis_id,0g4ci24yhyv8fkl
parameter_name,Immature B cells (Hardy fraction E) - % of B220+
