analysis_id,7266gm4xiy476f2
gene_accession_id,MGI:1332236
pvalue,0.4392461
mouse_life_stage,Early adult
parameter_name,CD11b-high cDC - % of CD45+
parameter_id,MGP_IMM_129_001
mouse_strain,129SV
gene_symbol,Cds2
