parameter_name,Blood Vessel Morphology
parameter_id,IMPC_GEO_011_001
gene_symbol,Zmynd8
gene_accession_id,MGI:1918025
pvalue,0.4002445
analysis_id,boil6d81308yr18
mouse_strain,C57BL
mouse_life_stage,Early adult
