parameter_name,Fusion of vertebrae
mouse_strain,C57BL
gene_symbol,Kifap3
mouse_life_stage,Early adult
parameter_id,M-G-P_006_001_026
gene_accession_id,MGI:107566
pvalue,0.2878428
analysis_id,sg2loc8ipe3869e
