analysis_id,vfhp2s831r06fqi
gene_symbol,Atrn
parameter_name,B cell number
gene_accession_id,MGI:1341628
pvalue,0.05655261
parameter_id,MGP_PBI_034_001
mouse_strain,C57BL
mouse_life_stage,Early adult
