parameter_name,Percentage center time
gene_symbol,Trim46
mouse_strain,C57BL
analysis_id,38u81cvbpm8y546
mouse_life_stage,Early adult
gene_accession_id,MGI:2673000
pvalue,0.9549407
parameter_id,IMPC_OFD_022_001
