gene_symbol,Cisd2
gene_accession_id,MGI:1914256
mouse_life_stage,Early adult
parameter_name,DN CD25- NKT cells
mouse_strain,C57BL
pvalue,1.046045
analysis_id,l6j9282f2j35977
parameter_id,IMPC_IMM_025_001
