parameter_name,Total holepokes
mouse_life_stage,Early adult
analysis_id,h12o26le35ed830
parameter_id,JAXLA_HBD_001_001
mouse_strain,C57BL
gene_accession_id,MGI:1919935
gene_symbol,Dnajc6
pvalue,0.9110111
