parameter_name,Follicular B Cells (CD21/35+)
pvalue,0.3134019
mouse_strain,C57BL
parameter_id,IMPC_IMM_067_001
gene_symbol,Ssr2
gene_accession_id,MGI:1913506
analysis_id,79gd710i292z452
mouse_life_stage,Early adult
