parameter_name,Number of centre entries
mouse_life_stage,Early adult
gene_accession_id,MGI:97838
mouse_strain,C57BL
pvalue,0.7780091
analysis_id,p6e302116aa88l2
parameter_id,ESLIM_007_001_015
gene_symbol,Eprs1
