analysis_id,j166ygq1ti3m603
mouse_strain,C57BL
parameter_id,IMPC_XRY_022_001
gene_accession_id,MGI:1914061
gene_symbol,Duoxa2
parameter_name,Radius
mouse_life_stage,Early adult
pvalue,4.105201e-32
