parameter_name,Center average speed
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_accession_id,MGI:2685277
parameter_id,JAXLA_OFD_017_001
gene_symbol,Zyg11b
pvalue,0.4362186
analysis_id,180jzlvaxkn6042
