gene_symbol,Lurap1
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_id,MGP_PBI_027_001
analysis_id,kj4opw1sr50zsi2
pvalue,0.6071647
parameter_name,NK cell number
gene_accession_id,MGI:1915325
