analysis_id,uo2w146mf3v6zhg
parameter_id,IMPC_CSD_070_001
parameter_name,Lower teeth appearance
mouse_life_stage,Early adult
pvalue,0.8529487
mouse_strain,C57BL
gene_accession_id,MGI:1921493
gene_symbol,Slx4ip
