parameter_id,IMPC_EYE_004_001
mouse_strain,C57BL
gene_symbol,Rhbg
pvalue,0.5168716
parameter_name,Eyelid morphology
mouse_life_stage,Early adult
gene_accession_id,MGI:1927379
analysis_id,putmhw4n6ab6l17
