analysis_id,0718d216903ln2v
mouse_life_stage,E9.5
gene_symbol,Dmap1
gene_accession_id,MGI:1913483
parameter_id,IMPC_CSD_051_002
mouse_strain,C57BL
pvalue,0.1332759
parameter_name,Hindlimb nail - number
