analysis_id,ax7x48sk9u4lc3i
parameter_name,Breath rate during sleep standard deviation
gene_symbol,Nipal3
parameter_id,JAX_SLW_014_001
mouse_life_stage,Early adult
mouse_strain,129SV
pvalue,0.1007018
gene_accession_id,MGI:1921802
