parameter_name,NK Subsets (Q2)
analysis_id,19gp20t636s5iuq
mouse_life_stage,Early adult
parameter_id,IMPC_IMM_055_001
mouse_strain,C57BL
gene_accession_id,MGI:3650254
pvalue,0.3979317
gene_symbol,Zfp683
