analysis_id,s70723fbagmqce2
gene_symbol,Col6a3
pvalue,0.521979
parameter_id,MGP_IMM_131_001
parameter_name,CD103+ CD11b-low cDC - % of CD45+
gene_accession_id,MGI:88461
mouse_strain,C57BL
mouse_life_stage,Early adult
