analysis_id,1k6g33l1n01rj20
pvalue,0.6352113
mouse_life_stage,Early adult
parameter_name,Alanine aminotransferase
parameter_id,IMPC_CBC_013_001
gene_accession_id,MGI:99915
mouse_strain,C57BL
gene_symbol,Lamb3
