parameter_name,HR
pvalue,0.702918
parameter_id,JAXLA_ECG_002_001
mouse_strain,C57BL
gene_accession_id,MGI:1917604
gene_symbol,Secisbp2l
mouse_life_stage,Early adult
analysis_id,97230043x3y3q5l
