analysis_id,0686ck9mg9mjfy1
mouse_life_stage,E9.5
parameter_name,Weight
pvalue,0.527669
gene_symbol,Cdin1
gene_accession_id,MGI:3026886
parameter_id,M-G-P_005_001_001
mouse_strain,C57BL
