mouse_life_stage,E9.5
parameter_id,IMPC_CBC_005_001
gene_accession_id,MGI:1914515
mouse_strain,C57BL
gene_symbol,Slc39a10
analysis_id,z1w31993838276k
pvalue,0.8207411
parameter_name,Creatinine
