analysis_id,ykx313469zv0g6u
gene_symbol,Ddx27
mouse_strain,C57BL
mouse_life_stage,Early adult
pvalue,0.2603891
gene_accession_id,MGI:2385884
parameter_name,Alpha beta T cell percentage
parameter_id,MGP_PBI_002_001
