gene_symbol,Bmp7
mouse_life_stage,Early adult
parameter_id,JAXLA_DXA_003_001
gene_accession_id,MGI:103302
mouse_strain,C57BL
parameter_name,Lean mass
analysis_id,6o7l945xyc3k3eh
pvalue,0.8197795
