analysis_id,63px6k2oxc5405n
mouse_strain,C57BL
gene_symbol,Mecom
parameter_id,MGP_IMM_017_001
mouse_life_stage,E15.5
gene_accession_id,MGI:95457
parameter_name,KLRG1+ CD8+ T cells - % of CD8+
pvalue,0.4544099
