analysis_id,32y157m5sp15864
parameter_id,MGP_IMM_131_001
mouse_life_stage,Early adult
mouse_strain,129SV
gene_accession_id,MGI:1923959
gene_symbol,Arpc2
parameter_name,CD103+ CD11b-low cDC - % of CD45+
pvalue,0.5388976
