gene_symbol,Cmpk1
mouse_life_stage,Early adult
analysis_id,351g42090q9h97y
parameter_name,Alkaline phosphatase
gene_accession_id,MGI:1913838
pvalue,0.1458347
mouse_strain,C57BL
parameter_id,HRWLLA_CBC_014_001
