analysis_id,v897is5dpp9zqq0
pvalue,0.6056093
mouse_life_stage,Early adult
parameter_name,Conditioning Baseline % Freezing Time
mouse_strain,C57BL
parameter_id,IMPC_FEA_003_001
gene_symbol,Secisbp2l
gene_accession_id,MGI:1917604
