parameter_name,CD8 CD44+CD62L- T cells
pvalue,0.9657682
gene_symbol,Nipal3
parameter_id,IMPC_IMM_032_001
mouse_life_stage,Early adult
gene_accession_id,MGI:1921802
mouse_strain,129SV
analysis_id,7pen5dwc367f00o
