gene_symbol,Ddx27
parameter_id,ESLIM_007_001_003
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_name,Whole arena resting time
pvalue,0.9998172
analysis_id,uoj1jr2recf49g4
gene_accession_id,MGI:2385884
