gene_symbol,Nipal3
mouse_strain,129SV
pvalue,0.1098231
analysis_id,exs4j767otch7i2
gene_accession_id,MGI:1921802
mouse_life_stage,Early adult
parameter_name,Total bilirubin
parameter_id,IMPC_CBC_008_001
