analysis_id,npd5y90h4g768eu
mouse_life_stage,E12.5
pvalue,0.6569016
parameter_name,Total T cells - % of CD45+
gene_accession_id,MGI:95835
mouse_strain,C57BL
gene_symbol,HSPA5
parameter_id,MGP_IMM_001_001
