analysis_id,5n3qj4nx9837u4a
parameter_name,HRV
pvalue,0.9144904
gene_symbol,Kif24
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_id,IMPC_ECG_010_001
gene_accession_id,MGI:1918345
