gene_symbol,Ppm1j
pvalue,0.7073485
analysis_id,ekr9a6r60dj0207
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_accession_id,MGI:1919137
parameter_name,DN CD25- NKT cells
parameter_id,IMPC_IMM_025_001
