gene_symbol,Ints7
pvalue,1.354562
mouse_strain,C57BL
analysis_id,5lka2g0o076rq3h
gene_accession_id,MGI:1924315
parameter_name,Hindpaw - size
parameter_id,JAXLA_CSD_041_002
mouse_life_stage,Early adult
