analysis_id,i5ph2jc86eydm23
mouse_life_stage,Early adult
parameter_name,% Pre-pulse inhibition - Global
gene_accession_id,MGI:1332236
gene_symbol,Cds2
pvalue,0.9542592
mouse_strain,129SV
parameter_id,IMPC_ACS_037_001
