parameter_name,HDL-cholesterol
gene_accession_id,MGI:1345282
mouse_strain,C57BL
pvalue,0.8308668
analysis_id,bo06f84sy4rt0l5
gene_symbol,Slc30a4
mouse_life_stage,Early adult
parameter_id,IMPC_CBC_016_001
