gene_symbol,Rgs20
mouse_life_stage,Early adult
mouse_strain,C57BL
pvalue,0.5031908
gene_accession_id,MGI:1929866
analysis_id,s0v29sno2zx9a1e
parameter_id,IMPC_IMM_046_001
parameter_name,DN CD44+CD62L- NKT cells
