mouse_strain,129SV
gene_symbol,Ddx27
parameter_name,Whole arena resting time
analysis_id,6l30k6oc7c71830
mouse_life_stage,Early adult
pvalue,0.1306534
parameter_id,JAX_OFD_007_001
gene_accession_id,MGI:2385884
