analysis_id,13am2k5w96ajt12
mouse_life_stage,Early adult
parameter_id,JAX_LDT_003_001
mouse_strain,C57BL
parameter_name,Time mobile light side
gene_symbol,Wars2
gene_accession_id,MGI:1917810
pvalue,0.8259521
